	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
5S_rRNA	107	28	9	11	5	85	26	10	107	28	44	14	72	22	17	17	16	5	79	14
5_8S_rRNA	14	35	13	3	893	1	9	37	0	23	287	1	13	10	0	1	8	26	71	8
7SK	194	198	103	135	106	95	75	59	156	76	1027	117	286	78	43	43	58	34	112	67
A1BG	109	33	11	6	104	77	122	68	41	60	51	45	133	153	90	13	35	46	44	33
A1BG-AS1	312	288	120	35	427	240	543	663	95	215	283	182	359	649	115	75	199	197	94	102
A1CF	7	0	4	2	1	33	1	0	1	1	1	19	26	1	3	5	0	0	4	1
A2M	144	1372	515	1183	198	35	1000	812	358	119	416	1084	999	1267	47	822	153	223	120	298
A2M-AS1	55	512	214	426	56	0	178	137	35	50	203	348	323	393	14	232	35	44	12	67
A2ML1	8	182	29	11	19	15	78	24	27	8	6	7	43	69	7	2	9	14	9	9
A2ML1-AS1	3	66	33	43	2	47	31	32	2	34	7	30	58	84	69	6	32	49	18	39
A2ML1-AS2	2	3	1	1	0	0	0	3	2	2	3	2	2	2	1	0	0	2	2	0
A2MP1	135	212	40	151	10	1	35	49	4	18	49	249	151	189	9	72	8	13	20	15
A3GALT2	118	20	17	17	15	56	20	11	127	31	64	26	53	18	24	100	37	5	18	17
A4GALT	44	7	2	6	236	487	862	201	106	84	442	6	581	215	491	90	60	15	63	49
A4GNT	0	3	2	3	1	0	5	0	4	6	3	4	2	7	1	18	0	0	3	1
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	238	1185	1887	921	1001	122	1377	1717	241	458	1403	754	767	1497	390	324	978	699	927	656
AACS	4008	800	963	818	284	400	1556	512	702	240	820	844	667	755	998	371	1221	639	2884	562
AACSP1	3	0	1	9	0	0	1	0	4	1	4	0	7	0	2	0	0	2	152	0
AADAC	3	0	1	0	0	0	0	0	1	2	0	0	3	0	3	1	2	0	1	1
AADACL2	1	2	3	3	3	0	0	0	1	1	0	2	1	7	0	0	1	1	2	0
AADACL2-AS1	3	3	0	2	2	2	7	0	3	5	0	2	0	5	3	0	3	7	0	0
AADACL3	1	0	0	1	1	0	1	0	0	1	2	1	2	0	0	0	0	0	1	0
AADACL4	1	0	1	1	0	0	0	0	3	0	0	0	1	0	0	0	3	0	1	1
AADACP1	0	2	2	6	0	0	3	5	1	0	0	1	0	8	1	0	2	0	2	1
AADAT	0	0	0	5	5	37	2	0	6	49	12	0	1	3	246	2	328	132	130	126
AAGAB	1590	1848	1335	2042	1157	654	1268	757	1360	789	937	1591	1669	1813	1233	706	1373	843	1888	1210
AAK1	3880	7612	13620	9747	6852	5260	13567	8925	7427	4602	7697	16333	14961	7397	5062	5912	8422	10477	2587	5078
AAMDC	392	386	323	272	292	55	208	201	143	126	166	207	190	408	140	106	254	223	319	187
AAMP	1244	1729	2011	1615	1321	1441	1950	1637	1337	1205	1798	927	1539	2160	1003	412	2051	1420	1694	1166
AANAT	62	39	52	77	15	15	44	41	121	23	90	26	62	32	39	27	28	43	39	49
AAR2	1241	838	1205	924	848	458	811	445	746	323	1080	796	1631	1124	635	487	1465	459	1128	962
AARD	4	1	5	0	0	2	1	0	1	5	1	5	2	0	1	1	2	1	1	2
AARS1	226	1430	3975	2320	1672	183	2227	2069	555	344	1296	1084	1054	3645	537	318	2637	1320	2375	798
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	1390	1006	1749	907	1073	177	1421	3253	504	383	1344	956	1295	1612	417	370	1048	760	1163	491
AARSD1	100	89	128	81	156	39	79	64	66	120	47	125	80	161	114	57	45	79	147	68
AARSD1P1	17	4	15	4	9	1	15	4	3	3	8	0	9	18	3	2	8	4	29	13
AASDH	244	545	401	636	751	190	412	807	226	336	346	597	611	1326	183	294	501	815	443	257
AASDHPPT	475	669	792	1226	964	208	623	358	294	303	656	1420	1056	1803	624	401	590	380	746	288
AASS	7	15	10	21	5	27	57	68	446	9	56	122	48	5	5	30	12	45	1183	5
AATBC	2005	665	1428	1976	339	436	2008	1232	281	565	1228	254	1033	326	460	134	1447	896	286	1490
AATF	1540	2534	1741	2346	1768	578	1815	1291	1160	1083	2462	1751	2089	2300	735	1400	2154	1014	1121	1800
AATK	1885	223	56	350	68	230	1009	1961	1941	813	10879	831	731	247	679	3027	532	136	235	490
ABALON	612	557	629	506	819	970	1502	1619	1490	692	4028	851	3723	1065	630	926	1166	156	1087	737
ABAT	1234	567	1022	1287	458	112	1005	950	222	390	1374	1624	641	635	208	757	677	397	255	598
ABBA01000933.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01000935.2	0	1	0	0	1	0	0	0	0	0	7	0	4	1	0	0	0	0	0	1
